--------------------------------------------------------------------------------------------------
  Depth    MaxCuts  CatCols                           Accuracy   Precision      Recall         FPR
--------------------------------------------------------------------------------------------------
      2          4  [2, 3]                              0.8267      0.8374      0.9662      0.6759
      2          4  [3]                                 0.8267      0.8374      0.9662      0.6759
      2          4  [2]                                 0.8267      0.8374      0.9662      0.6759
      5          4  [2, 3]                              0.8266      0.8426      0.9573      0.6442
      5          4  [2]                                 0.8266      0.8426      0.9573      0.6442
      4         32  [2, 3]                              0.8263      0.8383      0.9641      0.6697
      4         32  [3]                                 0.8263      0.8383      0.9641      0.6697
      4         32  [2]                                 0.8263      0.8383      0.9641      0.6697
      4          4  [2, 3]                              0.8258      0.8377      0.9642      0.6728
      4          4  [2]                                 0.8258      0.8377      0.9642      0.6728
      6          4  [3]                                 0.8258      0.8405      0.9594      0.6554
      6          4  [2, 3]                              0.8257      0.8405      0.9593      0.6554 *
      6          4  [2]                                 0.8257      0.8405      0.9593      0.6554
      4          4  [3]                                 0.8256      0.8377      0.9639      0.6728
      5          4  [3]                                 0.8256      0.8408      0.9585      0.6534
      2          8  [2, 3]                              0.8251      0.8386      0.9617      0.6667
      2          8  [3]                                 0.8251      0.8386      0.9617      0.6667
      2          8  [2]                                 0.8251      0.8386      0.9617      0.6667
      2         16  [2, 3]                              0.8251      0.8386      0.9617      0.6667
      2         16  [3]                                 0.8251      0.8386      0.9617      0.6667
      2         16  [2]                                 0.8251      0.8386      0.9617      0.6667
      2         24  [2, 3]                              0.8251      0.8386      0.9617      0.6667
      2         24  [3]                                 0.8251      0.8386      0.9617      0.6667
      2         24  [2]                                 0.8251      0.8386      0.9617      0.6667
      2         32  [2, 3]                              0.8251      0.8386      0.9617      0.6667
      2         32  [3]                                 0.8251      0.8386      0.9617      0.6667
      2         32  [2]                                 0.8251      0.8386      0.9617      0.6667
      5         16  [2, 3]                              0.8249      0.8407      0.9577      0.6534
      5         16  [3]                                 0.8249      0.8407      0.9577      0.6534
      5         16  [2]                                 0.8249      0.8407      0.9577      0.6534
      6          8  [2, 3]                              0.8246      0.8462      0.9482      0.6207
      6          8  [2]                                 0.8246      0.8463      0.9480      0.6201
      5          8  [2, 3]                              0.8242      0.8433      0.9523      0.6370
      5          8  [3]                                 0.8242      0.8433      0.9523      0.6370
      5          8  [2]                                 0.8242      0.8433      0.9523      0.6370
      5          8  [2, 3, 5, 6, 7, 8, 9, 10]           0.8241      0.8392      0.9591      0.6621
      5          8  [2, 5, 6, 7, 8, 9, 10]              0.8241      0.8392      0.9591      0.6621
      6          8  [3]                                 0.8241      0.8452      0.9490      0.6258
      3          4  [2, 3]                              0.8240      0.8471      0.9459      0.6150
      3          4  [2]                                 0.8240      0.8471      0.9459      0.6150
      4         32  [3, 5, 6, 7, 8, 9, 10]              0.8240      0.8429      0.9527      0.6396
      5          8  [3, 5, 6, 7, 8, 9, 10]              0.8240      0.8390      0.9591      0.6626
      4          8  [3, 5, 6, 7, 8, 9, 10]              0.8239      0.8427      0.9529      0.6406
      5         32  [3, 5, 6, 7, 8, 9, 10]              0.8239      0.8391      0.9588      0.6621
      3          4  [3]                                 0.8238      0.8470      0.9456      0.6150
      4         16  [3, 5, 6, 7, 8, 9, 10]              0.8238      0.8428      0.9524      0.6396
      4         24  [3, 5, 6, 7, 8, 9, 10]              0.8237      0.8426      0.9526      0.6406
      4         32  [2, 3, 5, 6, 7, 8, 9, 10]           0.8237      0.8429      0.9522      0.6391
      4         32  [2, 5, 6, 7, 8, 9, 10]              0.8237      0.8429      0.9522      0.6391
      5         24  [3]                                 0.8236      0.8480      0.9438      0.6094
      4          8  [2, 3, 5, 6, 7, 8, 9, 10]           0.8234      0.8425      0.9524      0.6411
      4          8  [2, 5, 6, 7, 8, 9, 10]              0.8234      0.8425      0.9524      0.6411
      4         16  [2, 3, 5, 6, 7, 8, 9, 10]           0.8234      0.8429      0.9519      0.6391
      4         16  [2, 5, 6, 7, 8, 9, 10]              0.8234      0.8429      0.9519      0.6391
      5         24  [3, 5, 6, 7, 8, 9, 10]              0.8234      0.8395      0.9576      0.6595
      6          8  [2, 3, 5, 6, 7, 8, 9, 10]           0.8234      0.8422      0.9530      0.6431
      6          8  [2, 5, 6, 7, 8, 9, 10]              0.8234      0.8422      0.9530      0.6431
      4         24  [2, 3, 5, 6, 7, 8, 9, 10]           0.8233      0.8427      0.9520      0.6401
